City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Snowfall,Rainfall
121,Ponta Do Sol,PT,2020-07-12 22:30:37,32.67,-17.1,69.01,75,0,3.22,clear sky,0,0.0
122,Tutoia,BR,2020-07-12 22:32:04,-2.76,-42.27,78.69,80,40,7.65,scattered clouds,0,0.0
123,Zhangye,CN,2020-07-12 22:32:04,38.93,100.45,75.0,30,98,6.11,overcast clouds,0,0.0
124,Bilibino,RU,2020-07-12 22:31:34,68.05,166.44,62.8,76,75,4.12,moderate rain,0,1.5
125,Provideniya,RU,2020-07-12 22:27:29,64.38,-173.3,50.0,81,20,13.42,fog,0,0.0
126,San Miguel,SV,2020-07-12 22:32:04,13.48,-88.18,86.83,71,10,1.12,light rain,0,0.31
127,Margate,GB,2020-07-12 22:27:52,51.38,1.39,63.0,71,71,4.05,broken clouds,0,0.0
128,Montepuez,MZ,2020-07-12 22:32:05,-13.13,39.0,62.26,97,3,6.51,clear sky,0,0.0
129,Pacifica,US,2020-07-12 22:29:00,37.61,-122.49,66.99,67,1,12.75,haze,0,0.0
130,Usinsk,RU,2020-07-12 22:32:05,65.99,57.53,52.63,88,65,18.52,broken clouds,0,0.0
131,Sidi Ali,DZ,2020-07-12 22:32:05,36.1,0.42,76.19,72,97,11.83,overcast clouds,0,0.0
132,Riyadh,SA,2020-07-12 22:28:46,24.69,46.72,93.2,15,26,11.41,scattered clouds,0,0.0
133,Bullhead City,US,2020-07-12 22:32:05,35.15,-114.57,118.99,9,40,18.34,scattered clouds,0,0.0
134,Nalut,LY,2020-07-12 22:32:06,30.33,10.85,81.63,27,0,13.04,clear sky,0,0.0
135,Lagoa,PT,2020-07-12 22:32:06,39.05,-27.98,68.63,80,0,15.77,clear sky,0,0.0
136,Leningradskiy,RU,2020-07-12 22:27:07,69.38,178.42,43.83,69,37,9.51,scattered clouds,0,0.0
137,Jagdalpur,IN,2020-07-12 22:32:06,19.07,82.03,75.54,89,100,5.1,overcast clouds,0,0.0
138,Anqing,CN,2020-07-12 22:32:06,30.51,117.05,75.04,85,99,7.07,overcast clouds,0,0.0
139,Klaksvik,FO,2020-07-12 22:31:32,62.23,-6.59,50.0,93,100,14.99,overcast clouds,0,0.0
140,Bredasdorp,ZA,2020-07-12 22:32:07,-34.53,20.04,57.2,41,0,11.41,clear sky,0,0.0
141,San Cristobal,VE,2020-07-12 22:30:13,7.77,-72.22,84.2,58,40,4.7,light rain,0,0.0
142,Dolores,AR,2020-07-12 22:32:07,-36.31,-57.68,41.27,67,16,8.21,few clouds,0,0.0
143,Rocha,UY,2020-07-12 22:29:39,-34.48,-54.33,41.77,67,62,7.27,broken clouds,0,0.0
144,Olafsvik,IS,2020-07-12 22:27:38,64.89,-23.71,51.06,82,54,3.31,broken clouds,0,0.0
145,Alofi,NU,2020-07-12 22:31:57,-19.06,-169.92,75.2,83,86,20.8,overcast clouds,0,0.0
146,Jacqueville,CI,2020-07-12 22:32:08,5.21,-4.41,77.0,88,20,3.36,few clouds,0,0.0
147,Sitka,US,2020-07-12 22:32:08,57.05,-135.33,59.0,72,75,5.82,broken clouds,0,0.0
148,Okhotsk,RU,2020-07-12 22:32:04,59.38,143.3,67.46,57,25,5.48,scattered clouds,0,0.0
